Title,Artist,Genre,Year,Beats_Per_Minute,Energy,Danceability,Liveness,Valence,Duration,Acousticness,Popularity
Sugar (feat. Francesco Yates),Robin Schulz,Pop,2015,123,82,64,16,64,219,2,60
Been You,Justin Bieber,Pop,2015,113,78,74,32,86,199,2,60
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,Pop,2015,123,89,76,62,78,189,2,58
See You Again (feat. Charlie Puth),Wiz Khalifa,Hip-Hop,2015,80,48,69,6,28,230,37,56
Heroes (we could be),Alesso,Big Room,2015,126,75,52,24,35,210,4,56
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,Pop,2015,156,60,47,9,4,292,33,55
Perfect,One Direction,Boy Band,2015,100,82,65,12,40,230,6,55
Ghosttown,Madonna,Pop,2015,79,55,54,12,9,250,4,54
Bang My Head (feat. Sia & Fetty Wap),David Guetta,Pop,2015,108,87,60,10,59,193,5,54
Bloodstream,Ed Sheeran,Pop,2015,89,59,48,6,27,309,20,52
Living For Love,Madonna,Pop,2015,123,79,67,25,39,219,4,52
Baby Don't Lie,Gwen Stefani,Pop,2015,100,55,69,10,26,203,1,52
Don't Be so Hard on Yourself,Jess Glynne,Pop,2015,120,82,57,16,66,211,6,52
Steal My Girl,One Direction,Boy Band,2015,77,76,47,14,52,227,0,51
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,Pop,2015,127,85,68,6,93,193,1,50
We Are Here,Alicia Keys,Pop,2015,93,67,64,8,8,285,43,49
St Jude,Florence + The Machine,Pop,2015,117,43,26,11,9,225,75,47
Yesterday (feat. Bebe Rexha),David Guetta,Pop,2015,128,78,57,33,28,243,2,46
Time of Our Lives,Pitbull,Pop,2015,124,80,72,69,72,229,9,45
Sparks,Hilary Duff,Pop,2015,122,88,85,10,79,186,4,44
Mr. Put It Down,Ricky Martin,Pop,2015,128,78,80,4,83,196,1,42
Legendary Lovers,Katy Perry,Pop,2015,126,84,62,8,39,224,2,41
Spark The Fire,Gwen Stefani,Pop,2015,120,80,88,20,54,202,8,39
